Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
chevrolet citation,28,4,151,90,2678,16.5,1980-01-01,USA
toyota corolla tercel,38.1,4,89,60,1968,18.8,1980-01-01,Japan
vw rabbit,41.5,4,98,76,2144,14.7,1980-01-01,Europe
chevrolet chevette,32.1,4,98,70,2120,15.5,1980-01-01,USA
datsun 310,37.2,4,86,65,2019,16.4,1980-01-01,Japan
ford fairmont,26.4,4,140,88,2870,18.1,1980-01-01,USA
amc concord,24.3,4,151,90,3003,20.1,1980-01-01,USA
dodge aspen,19.1,6,225,90,3381,18.7,1980-01-01,USA
audi 4000,34.3,4,97,78,2188,15.8,1980-01-01,Europe
toyota corona liftback,29.8,4,134,90,2711,15.5,1980-01-01,Japan
mazda 626,31.3,4,120,75,2542,17.5,1980-01-01,Japan
datsun 510 hatchback,37,4,119,92,2434,15,1980-01-01,Japan
toyota corolla,32.2,4,108,75,2265,15.2,1980-01-01,Japan
mazda glc,46.6,4,86,65,2110,17.9,1980-01-01,Japan
dodge colt,27.9,4,156,105,2800,14.4,1980-01-01,USA
datsun 210,40.8,4,85,65,2110,19.2,1980-01-01,Japan
vw rabbit c (diesel),44.3,4,90,48,2085,21.7,1980-01-01,Europe
vw dasher (diesel),43.4,4,90,48,2335,23.7,1980-01-01,Europe
audi 5000s (diesel),36.4,5,121,67,2950,19.9,1980-01-01,Europe
mercedes-benz 240d,30,4,146,67,3250,21.8,1980-01-01,Europe
honda civic 1500 gl,44.6,4,91,67,1850,13.8,1980-01-01,Japan
subaru dl,33.8,4,97,67,2145,18,1980-01-01,Japan
vokswagen rabbit,29.8,4,89,62,1845,15.3,1980-01-01,Europe
datsun 280-zx,32.7,6,168,132,2910,11.4,1980-01-01,Japan
mazda rx-7 gs,23.7,3,70,100,2420,12.5,1980-01-01,Japan
triumph tr7 coupe,35,4,122,88,2500,15.1,1980-01-01,Europe
honda Accelerationord,32.4,4,107,72,2290,17,1980-01-01,Japan
plymouth reliant,27.2,4,135,84,2490,15.7,1982-01-01,USA
buick skylark,26.6,4,151,84,2635,16.4,1982-01-01,USA
dodge aries wagon (sw),25.8,4,156,92,2620,14.4,1982-01-01,USA
chevrolet citation,23.5,6,173,110,2725,12.6,1982-01-01,USA
plymouth reliant,30,4,135,84,2385,12.9,1982-01-01,USA
toyota starlet,39.1,4,79,58,1755,16.9,1982-01-01,Japan
plymouth champ,39,4,86,64,1875,16.4,1982-01-01,USA
honda civic 1300,35.1,4,81,60,1760,16.1,1982-01-01,Japan
subaru,32.3,4,97,67,2065,17.8,1982-01-01,Japan
datsun 210,37,4,85,65,1975,19.4,1982-01-01,Japan
toyota tercel,37.7,4,89,62,2050,17.3,1982-01-01,Japan
mazda glc 4,34.1,4,91,68,1985,16,1982-01-01,Japan
plymouth horizon 4,34.7,4,105,63,2215,14.9,1982-01-01,USA
ford escort 4w,34.4,4,98,65,2045,16.2,1982-01-01,USA
ford escort 2h,29.9,4,98,65,2380,20.7,1982-01-01,USA
volkswagen jetta,33,4,105,74,2190,14.2,1982-01-01,Europe
honda prelude,33.7,4,107,75,2210,14.4,1982-01-01,Japan
toyota corolla,32.4,4,108,75,2350,16.8,1982-01-01,Japan
datsun 200sx,32.9,4,119,100,2615,14.8,1982-01-01,Japan
mazda 626,31.6,4,120,74,2635,18.3,1982-01-01,Japan
peugeot 505s turbo diesel,28.1,4,141,80,3230,20.4,1982-01-01,Europe
volvo diesel,30.7,6,145,76,3160,19.6,1982-01-01,Europe
toyota cressida,25.4,6,168,116,2900,12.6,1982-01-01,Japan
datsun 810 maxima,24.2,6,146,120,2930,13.8,1982-01-01,Japan
buick century,22.4,6,231,110,3415,15.8,1982-01-01,USA
oldsmobile cutlass ls,26.6,8,350,105,3725,19,1982-01-01,USA
ford granada gl,20.2,6,200,88,3060,17.1,1982-01-01,USA
chrysler lebaron salon,17.6,6,225,85,3465,16.6,1982-01-01,USA
chevrolet cavalier,28,4,112,88,2605,19.6,1982-01-01,USA
chevrolet cavalier wagon,27,4,112,88,2640,18.6,1982-01-01,USA
chevrolet cavalier 2-door,34,4,112,88,2395,18,1982-01-01,USA
pontiac j2000 se hatchback,31,4,112,85,2575,16.2,1982-01-01,USA
dodge aries se,29,4,135,84,2525,16,1982-01-01,USA
pontiac phoenix,27,4,151,90,2735,18,1982-01-01,USA
ford fairmont futura,24,4,140,92,2865,16.4,1982-01-01,USA
volkswagen rabbit l,36,4,105,74,1980,15.3,1982-01-01,Europe
mazda glc custom l,37,4,91,68,2025,18.2,1982-01-01,Japan
mazda glc custom,31,4,91,68,1970,17.6,1982-01-01,Japan
plymouth horizon miser,38,4,105,63,2125,14.7,1982-01-01,USA
mercury lynx l,36,4,98,70,2125,17.3,1982-01-01,USA
nissan stanza xe,36,4,120,88,2160,14.5,1982-01-01,Japan
honda Accelerationord,36,4,107,75,2205,14.5,1982-01-01,Japan
toyota corolla,34,4,108,70,2245,16.9,1982-01-01,Japan
honda civic,38,4,91,67,1965,15,1982-01-01,Japan
honda civic (auto),32,4,91,67,1965,15.7,1982-01-01,Japan
datsun 310 gx,38,4,91,67,1995,16.2,1982-01-01,Japan
buick century limited,25,6,181,110,2945,16.4,1982-01-01,USA
oldsmobile cutlass ciera (diesel),38,6,262,85,3015,17,1982-01-01,USA
chrysler lebaron medallion,26,4,156,92,2585,14.5,1982-01-01,USA
ford granada l,22,6,232,112,2835,14.7,1982-01-01,USA
toyota celica gt,32,4,144,96,2665,13.9,1982-01-01,Japan
dodge charger 2.2,36,4,135,84,2370,13,1982-01-01,USA
chevrolet camaro,27,4,151,90,2950,17.3,1982-01-01,USA
ford mustang gl,27,4,140,86,2790,15.6,1982-01-01,USA
vw pickup,44,4,97,52,2130,24.6,1982-01-01,Europe
dodge rampage,32,4,135,84,2295,11.6,1982-01-01,USA
ford ranger,28,4,120,79,2625,18.6,1982-01-01,USA
chevy s-10,31,4,119,82,2720,19.4,1982-01-01,USA